## Fri Mar 17 08:47:43 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope 1142 --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
SGL_RS08210	1148.1652883	0.0	877.0	COG0593@1|root,COG0593@2|Bacteria,1G1BW@1117|Cyanobacteria,1H4M5@1142|Synechocystis	1142|Synechocystis	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N
SGL_RS08215	1148.1652884	4.93e-86	256.0	COG2149@1|root,COG2149@2|Bacteria,1G7NV@1117|Cyanobacteria,1H6KH@1142|Synechocystis	1142|Synechocystis	S	Domain of unknown function (DUF202)	-	-	-	ko:K00389	-	-	-	-	ko00000	-	-	-	DUF202
SGL_RS08220	1148.1652885	3.52e-274	751.0	COG0027@1|root,COG0027@2|Bacteria,1G1V9@1117|Cyanobacteria,1H6FE@1142|Synechocystis	1142|Synechocystis	F	Involved in the de novo purine biosynthesis. Catalyzes the transfer of formate to 5-phospho-ribosyl-glycinamide (GAR), producing 5-phospho-ribosyl-N-formylglycinamide (FGAR). Formate is provided by PurU via hydrolysis of 10-formyl-tetrahydrofolate	purT	-	2.1.2.2	ko:K08289	ko00230,ko00670,ko01100,ko01110,ko01130,map00230,map00670,map01100,map01110,map01130	M00048	R04325,R04326	RC00026,RC00197,RC01128	ko00000,ko00001,ko00002,ko01000	-	-	-	ATP-grasp
SGL_RS08225	1148.1652886	1.14e-68	207.0	COG3339@1|root,COG3339@2|Bacteria,1G7ZF@1117|Cyanobacteria,1H5XS@1142|Synechocystis	1142|Synechocystis	S	Protein of unknown function (DUF1232)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1232
SGL_RS08230	1148.1652887	1.4e-238	655.0	COG2605@1|root,COG2605@2|Bacteria,1G13X@1117|Cyanobacteria,1H6G5@1142|Synechocystis	1142|Synechocystis	S	GHMP kinases C terminal	lmbP	-	2.7.1.168	ko:K07031	ko00540,map00540	-	R09770	RC00002,RC00078	ko00000,ko00001,ko01000	-	-	-	GHMP_kinases_C,GHMP_kinases_N
SGL_RS08235	1148.1652888	0.0	941.0	COG0312@1|root,COG0312@2|Bacteria,1G0BB@1117|Cyanobacteria,1H58T@1142|Synechocystis	1142|Synechocystis	S	Putative modulator of DNA gyrase	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464	-	ko:K03568	-	-	-	-	ko00000,ko01002	-	-	-	PmbA_TldD
SGL_RS08240	1148.1652889	7.54e-266	727.0	COG0482@1|root,COG0482@2|Bacteria,1G21J@1117|Cyanobacteria,1H51U@1142|Synechocystis	1142|Synechocystis	J	Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34	mnmA	-	2.8.1.13	ko:K00566	ko04122,map04122	-	R08700	RC02313,RC02315	ko00000,ko00001,ko01000,ko03016	-	-	-	tRNA_Me_trans
SGL_RS08250	1148.1652891	0.0	1031.0	COG0366@1|root,COG0366@2|Bacteria,1G0NX@1117|Cyanobacteria,1H4IP@1142|Synechocystis	1142|Synechocystis	G	Alpha-amylase domain	nplT	-	3.2.1.133,3.2.1.135,3.2.1.54	ko:K01208	ko00500,ko01100,map00500,map01100	-	R02112,R03122,R11262	-	ko00000,ko00001,ko01000	-	GH13	-	Alpha-amylase
SGL_RS08255	1148.1652892	0.0	1080.0	COG0488@1|root,COG0488@2|Bacteria,1G14R@1117|Cyanobacteria,1H51P@1142|Synechocystis	1142|Synechocystis	S	ABC transporter	-	-	-	ko:K06158	-	-	-	-	ko00000,ko03012	-	-	-	ABC_tran,ABC_tran_Xtn
SGL_RS08260	1148.1652893	9.62e-247	677.0	COG4301@1|root,COG4301@2|Bacteria,1G2JI@1117|Cyanobacteria,1H584@1142|Synechocystis	1142|Synechocystis	S	Histidine-specific methyltransferase, SAM-dependent	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_33
SGL_RS08265	1148.1652894	1.12e-141	399.0	2B79R@1|root,320CM@2|Bacteria,1G6NW@1117|Cyanobacteria,1H5SF@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS08270	1148.1652895	7.15e-164	458.0	COG0284@1|root,COG0284@2|Bacteria,1G2ED@1117|Cyanobacteria,1H5BX@1142|Synechocystis	1142|Synechocystis	F	Catalyzes the decarboxylation of orotidine 5'- monophosphate (OMP) to uridine 5'-monophosphate (UMP)	pyrF	GO:0003674,GO:0003824,GO:0004590,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006206,GO:0006207,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009112,GO:0009987,GO:0016829,GO:0016830,GO:0016831,GO:0018130,GO:0019856,GO:0034641,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046112,GO:0046483,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	4.1.1.23	ko:K01591	ko00240,ko01100,map00240,map01100	M00051	R00965	RC00409	ko00000,ko00001,ko00002,ko01000	-	-	-	OMPdecase
SGL_RS08275	1148.1652896	2.35e-78	246.0	COG0457@1|root,COG0457@2|Bacteria,1G0BJ@1117|Cyanobacteria,1H5C0@1142|Synechocystis	1142|Synechocystis	S	Tetratricopeptide repeat	-	-	-	-	-	-	-	-	-	-	-	-	TPR_11
SGL_RS19850	1148.1652897	1.42e-95	281.0	2E0G3@1|root,32W26@2|Bacteria,1G7NN@1117|Cyanobacteria,1H6JE@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS08285	1148.1652898	4.1e-65	198.0	COG0515@1|root,COG0515@2|Bacteria,1GIJB@1117|Cyanobacteria,1H6UK@1142|Synechocystis	1142|Synechocystis	KLT	Protein tyrosine kinase	-	-	2.7.11.1	ko:K12132	-	-	-	-	ko00000,ko01000,ko01001	-	-	-	-
SGL_RS08290	1148.1652899	0.0	1570.0	COG0699@1|root,COG0699@2|Bacteria,1G1BY@1117|Cyanobacteria,1H64K@1142|Synechocystis	1142|Synechocystis	S	Dynamin family	-	-	-	-	-	-	-	-	-	-	-	-	Dynamin_N
SGL_RS08310	1148.1652902	8.43e-261	715.0	COG3117@1|root,COG3117@2|Bacteria,1G0PJ@1117|Cyanobacteria,1H5FA@1142|Synechocystis	1142|Synechocystis	S	Lipopolysaccharide-assembly, LptC-related	-	-	-	-	-	-	-	-	-	-	-	-	LptC
SGL_RS08315	1148.1652903	0.0	1712.0	COG0249@1|root,COG0249@2|Bacteria,1G1QX@1117|Cyanobacteria,1H4P0@1142|Synechocystis	1142|Synechocystis	L	that it carries out the mismatch recognition step. This protein has a weak ATPase activity	-	GO:0003674,GO:0003676,GO:0003677,GO:0003684,GO:0003690,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006281,GO:0006298,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008094,GO:0008150,GO:0008152,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0030983,GO:0032300,GO:0032991,GO:0033554,GO:0034641,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1990391	-	ko:K03555	ko03430,map03430	-	-	-	ko00000,ko00001,ko03400	-	-	-	MutS_I,MutS_II,MutS_III,MutS_IV,MutS_V
SGL_RS08325	1148.1652905	6.18e-240	660.0	COG0697@1|root,COG0697@2|Bacteria,1G23N@1117|Cyanobacteria,1H65S@1142|Synechocystis	1142|Synechocystis	U	EamA-like transporter family	-	-	-	-	-	-	-	-	-	-	-	-	EamA
SGL_RS08330	1148.1652906	6.71e-81	240.0	COG1917@1|root,COG1917@2|Bacteria,1G73E@1117|Cyanobacteria,1H6MH@1142|Synechocystis	1142|Synechocystis	S	Cupin domain	-	-	-	-	-	-	-	-	-	-	-	-	Cupin_2
SGL_RS08335	1148.1652907	1.29e-168	471.0	28H9G@1|root,2Z7M6@2|Bacteria,1G283@1117|Cyanobacteria,1H4UJ@1142|Synechocystis	1142|Synechocystis	S	Protein of unknown function (DUF4079)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4079
SGL_RS08345	1148.1652909	7.97e-108	311.0	2EEI4@1|root,338BZ@2|Bacteria,1G9S8@1117|Cyanobacteria,1H68J@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS08350	1148.1652910	9.47e-158	442.0	COG1225@1|root,COG1225@2|Bacteria,1G3WF@1117|Cyanobacteria,1H6J4@1142|Synechocystis	1142|Synechocystis	O	Redoxin	-	-	-	-	-	-	-	-	-	-	-	-	AhpC-TSA
SGL_RS08355	1148.1652911	1.24e-89	263.0	2AJGY@1|root,31A3D@2|Bacteria,1G6N1@1117|Cyanobacteria,1H6MV@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS08360	1148.1652912	3.92e-217	599.0	COG0583@1|root,COG0583@2|Bacteria,1G4S2@1117|Cyanobacteria,1H5GK@1142|Synechocystis	1142|Synechocystis	K	LysR substrate binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
SGL_RS08380	1148.1652917	3.76e-70	212.0	2C7T6@1|root,32RJR@2|Bacteria,1G7PA@1117|Cyanobacteria,1H5W9@1142|Synechocystis	1142|Synechocystis	S	Protein of unknown function (DUF2973)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2973
SGL_RS08385	1148.1652918	4.98e-290	793.0	COG0477@1|root,COG2814@2|Bacteria,1G1EP@1117|Cyanobacteria,1H4Z2@1142|Synechocystis	1142|Synechocystis	EGP	MFS_1 like family	norA	-	-	-	-	-	-	-	-	-	-	-	MFS_1,Sugar_tr
SGL_RS08390	1148.1652919	1.99e-237	653.0	COG0226@1|root,COG0226@2|Bacteria,1G0SW@1117|Cyanobacteria,1H4N7@1142|Synechocystis	1142|Synechocystis	P	PBP superfamily domain	-	-	-	ko:K02040	ko02010,ko02020,ko05152,map02010,map02020,map05152	M00222	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.7	-	iJN678.pstS	PBP_like_2
SGL_RS08395	1148.1652920	5.55e-221	611.0	COG0573@1|root,COG0573@2|Bacteria,1G0IU@1117|Cyanobacteria,1H52Y@1142|Synechocystis	1142|Synechocystis	P	probably responsible for the translocation of the substrate across the membrane	-	-	-	ko:K02037	ko02010,map02010	M00222	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.7	-	-	BPD_transp_1
SGL_RS08400	1148.1652921	7.66e-193	536.0	COG0581@1|root,COG0581@2|Bacteria,1G1S1@1117|Cyanobacteria,1H4QW@1142|Synechocystis	1142|Synechocystis	P	Binding-protein-dependent transport system inner membrane component	-	-	-	ko:K02038	ko02010,map02010	M00222	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.7	-	-	BPD_transp_1
SGL_RS08405	1148.1652922	2.4e-191	531.0	COG1117@1|root,COG1117@2|Bacteria,1G32U@1117|Cyanobacteria,1H54K@1142|Synechocystis	1142|Synechocystis	P	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system	-	-	3.6.3.27	ko:K02036	ko02010,map02010	M00222	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.7	-	-	ABC_tran
SGL_RS08410	1148.1652923	3.07e-124	353.0	COG0652@1|root,COG0652@2|Bacteria,1G4Z3@1117|Cyanobacteria,1H63U@1142|Synechocystis	1142|Synechocystis	J	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides	-	GO:0000413,GO:0003674,GO:0003755,GO:0003824,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016853,GO:0016859,GO:0018193,GO:0018208,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:0140096,GO:1901564	-	-	-	-	-	-	-	-	-	-	Pro_isomerase
SGL_RS08415	1148.1652924	2.87e-66	201.0	COG2154@1|root,COG2154@2|Bacteria,1GKI4@1117|Cyanobacteria,1H6TC@1142|Synechocystis	1142|Synechocystis	H	Pterin 4 alpha carbinolamine dehydratase	-	-	4.2.1.96	ko:K01724	ko00790,map00790	-	R04734	RC01208	ko00000,ko00001,ko01000,ko04147	-	-	-	Pterin_4a
SGL_RS08420	1148.1652925	0.0	1130.0	COG1808@1|root,COG1808@2|Bacteria,1G3Y7@1117|Cyanobacteria,1H5YN@1142|Synechocystis	1142|Synechocystis	S	Domain of unknown function (DUF389)	-	-	-	-	-	-	-	-	-	-	-	-	DUF389
SGL_RS08425	1148.1652926	1.17e-55	173.0	COG2199@1|root,COG2199@2|Bacteria,1G975@1117|Cyanobacteria,1H6Q2@1142|Synechocystis	1142|Synechocystis	T	Domain of unknown function (DUF1816)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1816
SGL_RS08430	1148.1652927	2.68e-144	410.0	COG0670@1|root,COG0670@2|Bacteria,1G0V9@1117|Cyanobacteria,1H6HQ@1142|Synechocystis	1142|Synechocystis	S	Inhibitor of apoptosis-promoting Bax1	-	-	-	ko:K06890	-	-	-	-	ko00000	-	-	-	Bax1-I
SGL_RS08435	1148.1652928	5.21e-58	180.0	29MG6@1|root,308E2@2|Bacteria,1GIIA@1117|Cyanobacteria,1H6QN@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS08440	1148.1652929	0.0	967.0	COG0654@1|root,COG3349@1|root,COG0654@2|Bacteria,COG3349@2|Bacteria,1G0NM@1117|Cyanobacteria,1H4XH@1142|Synechocystis	1142|Synechocystis	CH	Flavin containing amine oxidoreductase	pds	-	1.3.5.5	ko:K02293	ko00906,ko01100,ko01110,map00906,map01100,map01110	M00097	R04786,R04787,R07510,R09652,R09653,R09654	RC01214,RC01958,RC03092,RC03093	ko00000,ko00001,ko00002,ko01000	-	-	-	Amino_oxidase
SGL_RS08445	1148.1652930	2.68e-253	693.0	COG1562@1|root,COG1562@2|Bacteria,1G078@1117|Cyanobacteria,1H4S6@1142|Synechocystis	1142|Synechocystis	I	Squalene/phytoene synthase	-	GO:0003674,GO:0003824,GO:0004337,GO:0004659,GO:0006629,GO:0006720,GO:0006721,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009987,GO:0016108,GO:0016109,GO:0016114,GO:0016116,GO:0016117,GO:0016740,GO:0016765,GO:0016767,GO:0042440,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0046148,GO:0071704,GO:1901576	2.5.1.32,2.5.1.99	ko:K02291	ko00906,ko01062,ko01100,ko01110,map00906,map01062,map01100,map01110	M00097	R02065,R04218,R07270,R10177	RC00362,RC01101,RC02869	ko00000,ko00001,ko00002,ko01000,ko01006	-	-	-	SQS_PSY
SGL_RS08450	1148.1652931	2.33e-89	262.0	COG3788@1|root,COG3788@2|Bacteria,1G73Q@1117|Cyanobacteria,1H6JT@1142|Synechocystis	1142|Synechocystis	S	MAPEG family	-	GO:0003674,GO:0003824,GO:0004364,GO:0004601,GO:0004602,GO:0008150,GO:0008152,GO:0009636,GO:0009987,GO:0016209,GO:0016491,GO:0016684,GO:0016740,GO:0016765,GO:0042221,GO:0050896,GO:0051716,GO:0055114,GO:0070887,GO:0097237,GO:0098754,GO:0098869,GO:1990748	-	-	-	-	-	-	-	-	-	-	MAPEG
SGL_RS08455	1148.1652932	3.71e-64	196.0	COG0831@1|root,COG0831@2|Bacteria,1G6KQ@1117|Cyanobacteria,1H5KF@1142|Synechocystis	1142|Synechocystis	E	Urease, gamma subunit	ureA	-	3.5.1.5	ko:K01430	ko00220,ko00230,ko00791,ko01100,ko01120,map00220,map00230,map00791,map01100,map01120	-	R00131	RC02798,RC02806	ko00000,ko00001,ko01000	-	-	-	Urease_gamma
SGL_RS08465	1148.1652933	4.7e-282	771.0	COG0834@1|root,COG0834@2|Bacteria,1G36J@1117|Cyanobacteria,1H656@1142|Synechocystis	1142|Synechocystis	ET	Ligand-gated ion channel	-	-	-	-	-	-	-	-	-	-	-	-	Ion_trans_2,SBP_bac_3
SGL_RS08475	1148.1652935	5.26e-171	476.0	COG0491@1|root,COG0491@2|Bacteria,1GIY3@1117|Cyanobacteria,1H6TD@1142|Synechocystis	1142|Synechocystis	S	Thiolesterase that catalyzes the hydrolysis of S-D- lactoyl-glutathione to form glutathione and D-lactic acid	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS08480	1148.1652936	1.76e-126	359.0	2DM6G@1|root,31X2B@2|Bacteria,1G6KD@1117|Cyanobacteria,1H5YD@1142|Synechocystis	1142|Synechocystis	S	Protein of unknown function (DUF3122)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3122
SGL_RS08485	1148.1652937	1.28e-120	345.0	COG0607@1|root,COG0607@2|Bacteria,1G56U@1117|Cyanobacteria,1H5ZS@1142|Synechocystis	1142|Synechocystis	P	Rhodanese Homology Domain	-	-	-	-	-	-	-	-	-	-	-	-	DUF2892,Rhodanese
SGL_RS08490	1148.1652938	2.67e-192	535.0	COG0730@1|root,COG0730@2|Bacteria,1GJKF@1117|Cyanobacteria,1H6TP@1142|Synechocystis	1142|Synechocystis	S	Sulfite exporter TauE/SafE	-	-	-	ko:K07090	-	-	-	-	ko00000	-	-	-	TauE
SGL_RS08495	1148.1652939	0.0	934.0	COG1749@1|root,COG1749@2|Bacteria,1G0DR@1117|Cyanobacteria,1H52I@1142|Synechocystis	1142|Synechocystis	N	Protein of unknown function (DUF3370)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3370
SGL_RS08500	1148.1652940	1.21e-268	736.0	COG1725@1|root,COG1725@2|Bacteria,1G0FN@1117|Cyanobacteria,1H4FZ@1142|Synechocystis	1142|Synechocystis	K	helix_turn_helix gluconate operon transcriptional repressor	-	-	-	ko:K07978	-	-	-	-	ko00000,ko03000	-	-	-	GntR
SGL_RS08505	1148.1652941	1.9e-94	275.0	2E5DC@1|root,3305C@2|Bacteria,1G9B4@1117|Cyanobacteria,1H6KY@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS08510	1148.1652942	1.57e-194	539.0	COG0483@1|root,COG0483@2|Bacteria,1G09G@1117|Cyanobacteria,1H6AK@1142|Synechocystis	1142|Synechocystis	G	Inositol monophosphatase family	-	-	-	-	-	-	-	-	-	-	-	-	Inositol_P
SGL_RS08515	1148.1652943	2.33e-253	695.0	COG0079@1|root,COG0079@2|Bacteria,1FZV3@1117|Cyanobacteria,1H5B5@1142|Synechocystis	1142|Synechocystis	E	Aminotransferase class I and II	-	-	2.6.1.9	ko:K00817	ko00340,ko00350,ko00360,ko00400,ko00401,ko00960,ko01100,ko01110,ko01130,ko01230,map00340,map00350,map00360,map00400,map00401,map00960,map01100,map01110,map01130,map01230	M00026	R00694,R00734,R03243	RC00006,RC00888	ko00000,ko00001,ko00002,ko01000,ko01007	-	-	iJN678.hisC	Aminotran_1_2
SGL_RS08520	1148.1652944	3.48e-73	219.0	COG0640@1|root,COG0640@2|Bacteria,1G7S2@1117|Cyanobacteria,1H5VZ@1142|Synechocystis	1142|Synechocystis	K	helix_turn_helix, Arsenical Resistance Operon Repressor	arsA	-	-	-	-	-	-	-	-	-	-	-	HTH_5
SGL_RS08525	1148.1652945	3.83e-176	491.0	COG0580@1|root,COG0580@2|Bacteria,1G0AW@1117|Cyanobacteria,1H4QZ@1142|Synechocystis	1142|Synechocystis	U	Channel that permits osmotically driven movement of water in both directions. It is involved in the osmoregulation and in the maintenance of cell turgor during volume expansion in rapidly growing cells. It mediates rapid entry or exit of water in response to abrupt changes in osmolarity	-	-	-	ko:K06188	-	-	-	-	ko00000,ko02000	1.A.8	-	iJN678.apqZ	MIP
SGL_RS08530	1148.1652946	0.0	1700.0	COG0550@1|root,COG1754@1|root,COG0550@2|Bacteria,COG1754@2|Bacteria,1G092@1117|Cyanobacteria,1H4JV@1142|Synechocystis	1142|Synechocystis	L	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone	topA	-	5.99.1.2	ko:K03168	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	Topoisom_bac,Toprim,Toprim_C_rpt
SGL_RS08535	1147.D082_02740	8.46e-77	230.0	COG1135@1|root,COG1145@1|root,COG1135@2|Bacteria,COG1145@2|Bacteria,1G5Q2@1117|Cyanobacteria,1H5E7@1142|Synechocystis	1142|Synechocystis	CP	4Fe-4S dicluster domain	-	-	-	-	-	-	-	-	-	-	-	-	Fer4,NIL
SGL_RS08540	1148.1652948	0.0	962.0	COG0204@1|root,COG0204@2|Bacteria,1G0U3@1117|Cyanobacteria,1H6GT@1142|Synechocystis	1142|Synechocystis	I	Phosphate acyltransferases	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS08545	1148.1652949	1.73e-138	391.0	COG4636@1|root,COG4636@2|Bacteria,1G33M@1117|Cyanobacteria,1H6VT@1142|Synechocystis	1142|Synechocystis	S	Putative restriction endonuclease	-	-	-	-	-	-	-	-	-	-	-	-	Uma2
SGL_RS08560	1148.1652952	3.07e-284	777.0	COG0675@1|root,COG0675@2|Bacteria,1G01E@1117|Cyanobacteria,1H4QS@1142|Synechocystis	1142|Synechocystis	L	Probable transposase	-	-	-	ko:K07496	-	-	-	-	ko00000	-	-	-	HTH_OrfB_IS605,OrfB_IS605,OrfB_Zn_ribbon
SGL_RS08565	1148.1652953	0.0	2729.0	COG2931@1|root,COG2931@2|Bacteria,1GIZS@1117|Cyanobacteria,1H6BS@1142|Synechocystis	1142|Synechocystis	Q	calcium- and calmodulin-responsive adenylate cyclase activity	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS08570	1148.1652954	5.93e-183	508.0	COG2242@1|root,COG2242@2|Bacteria,1GIGI@1117|Cyanobacteria,1H66F@1142|Synechocystis	1142|Synechocystis	H	Methyltransferase FkbM domain	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_21
SGL_RS08575	1148.1652955	1.88e-167	469.0	2ECIN@1|root,336GU@2|Bacteria,1G9FV@1117|Cyanobacteria,1H5ZW@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS08580	1148.1652957	8.6e-108	311.0	28I0N@1|root,2Z7RG@2|Bacteria,1G12V@1117|Cyanobacteria,1H5CE@1142|Synechocystis	1142|Synechocystis	O	Light-harvesting photosynthetic bile pigment-protein from the phycobiliprotein complex. Allophycocyanin has a maximum absorption at approximately 650 nanometers	apcA	GO:0005575,GO:0005622,GO:0005623,GO:0009579,GO:0016020,GO:0030076,GO:0030089,GO:0032991,GO:0034357,GO:0042651,GO:0044424,GO:0044425,GO:0044436,GO:0044464,GO:0098796	-	ko:K02092	ko00196,ko01100,map00196,map01100	-	-	-	ko00000,ko00001,ko00194	-	-	-	Phycobilisome
SGL_RS08585	1148.1652958	2.37e-105	305.0	28I0N@1|root,2Z7X0@2|Bacteria,1FZVG@1117|Cyanobacteria,1H51J@1142|Synechocystis	1142|Synechocystis	O	Light-harvesting photosynthetic bile pigment-protein from the phycobiliprotein complex. Allophycocyanin has a maximum absorption at approximately 650 nanometers	apcB	-	-	ko:K02093	ko00196,ko01100,map00196,map01100	-	-	-	ko00000,ko00001,ko00194	-	-	iJN678.apcB	Phycobilisome
SGL_RS08590	1147.D082_33970	2.72e-42	138.0	2CHHF@1|root,32S63@2|Bacteria,1G7RG@1117|Cyanobacteria,1H5R4@1142|Synechocystis	1142|Synechocystis	O	Rod linker protein, associated with allophycocyanin. Linker polypeptides determine the state of aggregation and the location of the disk-shaped phycobiliprotein units within the phycobilisome and modulate their spectroscopic properties in order to mediate a directed and optimal energy transfer (By similarity)	apcC	-	-	ko:K02094	ko00196,ko01100,map00196,map01100	-	-	-	ko00000,ko00001,ko00194	-	-	-	CpcD
SGL_RS08595	1148.1652960	4.3e-229	629.0	COG2264@1|root,COG2264@2|Bacteria,1G0G1@1117|Cyanobacteria,1H55Q@1142|Synechocystis	1142|Synechocystis	J	Ribosomal protein L11 methyltransferase (PrmA)	prmA	-	-	ko:K02687	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	PrmA
SGL_RS08600	1148.1652961	0.0	1054.0	COG0111@1|root,COG0111@2|Bacteria,1FZZU@1117|Cyanobacteria,1H4NC@1142|Synechocystis	1142|Synechocystis	E	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family	serA	-	1.1.1.399,1.1.1.95	ko:K00058	ko00260,ko00680,ko01100,ko01120,ko01130,ko01200,ko01230,map00260,map00680,map01100,map01120,map01130,map01200,map01230	M00020	R01513	RC00031	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	iJN678.serA	2-Hacid_dh,2-Hacid_dh_C,ACT
SGL_RS08605	1148.1652962	1.02e-181	504.0	28KSU@1|root,2ZAA4@2|Bacteria,1G1SE@1117|Cyanobacteria,1H5FB@1142|Synechocystis	1142|Synechocystis	S	Protein of unknown function (DUF3120)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3120
