old_locus_tag,gene_name,accession,start,end,strand,gene_product,uniprot,operon
sll0272,sll0272,NC_000911.1,2104439,2104912,-,DUF2996 domain-containing protein,,Op1483
sll0271,nusB,NC_000911.1,2104943,2105608,-,transcription antitermination factor NusB,A0A6P1VP63_9SYNC,Op1483
slr0280,slr0280,NC_000911.1,2105837,2107645,+,phosphodiester glycosidase family protein,,Op1484
sll0270,priA,NC_000911.1,2107664,2110159,-,primosomal protein N',,Op1485
sll0269,sll0269,NC_000911.1,2110166,2110579,-,hypothetical protein,,Op1485
sll0268,sll0268,NC_000911.1,2110697,2111044,-,YtxH domain-containing protein,A0A6P1VL06_9SYNC,Op1486
sll0267,sll0267,NC_000911.1,2111141,2115877,-,EAL domain-containing protein,,Op1486
sll0266,sll0266,NC_000911.1,2116083,2117312,-,hypothetical protein,,Op1487
sll0265,sll0265,NC_000911.1,2117309,2118214,-,ferritin-like domain-containing protein,,Op1487
sll0264,sll0264,NC_000911.1,2118198,2119337,-,aromatic ring-hydroxylating dioxygenase subunit alpha,,Op1487
sll0263,sll0263,NC_000911.1,2119301,2120020,-,hypothetical protein,,Op1488
sll0262,sll0262,NC_000911.1,2120067,2121146,-,fatty acid desaturase,,Op1489
sll0261,sll0261,NC_000911.1,2121641,2123347,-,NAD-binding protein,,Op1490
,,NC_000911.1,2123386,2123508,-,hypothetical protein,,Op6
slr0284,slr0284,NC_000911.1,2123646,2123996,+,phage holin family protein,A0A068N0A9_SYNY4,Op1491
slr0285,slr0285,NC_000911.1,2124122,2124973,+,radical SAM protein,,Op1492
slr0286,slr0286,NC_000911.1,2124966,2126246,+,hypothetical protein,,Op1492
sll0260,sll0260,NC_000911.1,2126243,2127589,-,hemolysin family protein,,Op1493
ssr0482,rpsP,NC_000911.1,2127879,2128127,+,30S ribosomal protein S16,A0A6P1VJX5_9SYNC,Op1494
slr0287,slr0287,NC_000911.1,2128168,2128524,+,KH domain-containing protein,A0A6P1VHQ4_9SYNC,Op1494
slr0288,slr0288,NC_000911.1,2128767,2130941,+,glutamine synthetase III,,Op1495
slr0291,slr0291,NC_000911.1,2131105,2131539,+,DUF29 domain-containing protein,,Op1496
sll0258,psbV,NC_000911.1,2131616,2132098,-,photosystem II cytochrome c-550,,Op1497
ssl0483,ssl0483,NC_000911.1,2132257,2132457,-,hypothetical protein,,Op1498
slr0292,slr0292,NC_000911.1,2132715,2133545,+,sirohydrochlorin chelatase,,Op1499
sll0257,tsaE,NC_000911.1,2133549,2134022,-,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,,Op1500
slr0293,gcvP,NC_000911.1,2134202,2137153,+,aminomethyl-transferring glycine dehydrogenase,,Op1501
slr0294,slr0294,NC_000911.1,2137259,2137738,+,hypothetical protein,,Op1502
slr0392,slr0392,NC_000911.1,2137707,2138081,+,hypothetical protein,,Op1502
slr0393,slr0393,NC_000911.1,2138074,2138439,+,HNH endonuclease,,Op1502
,,NC_000911.1,2138496,2138621,+,DUF433 domain-containing protein,,Op6
sll0364,sll0364,NC_000911.1,2138723,2139142,-,DUF2358 domain-containing protein,,Op1503
slr0394,slr0394,NC_000911.1,2139193,2140395,+,phosphoglycerate kinase,,Op1504
slr0395,slr0395,NC_000911.1,2140664,2141593,+,LysR family transcriptional regulator,A0A6P1VFG5_9SYNC,Op1505
sll0362,alaS,NC_000911.1,2141613,2144246,-,alanine--tRNA ligase,,Op1506
sll0361,sll0361,NC_000911.1,2144427,2144846,-,hypothetical protein,,Op1507
sll0360,sll0360,NC_000911.1,2144979,2145812,-,type II CAAX endopeptidase family protein,,Op1508
sll0359,sll0359,NC_000911.1,2146000,2146467,-,AbrB family transcriptional regulator,A0A6P1VH80_9SYNC,Op1509
slr0397,slr0397,NC_000911.1,2146801,2147376,+,DUF3038 domain-containing protein,,Op1510
slr0398,slr0398,NC_000911.1,2147548,2148033,+,hypothetical protein,,Op1511
slr0399,slr0399,NC_000911.1,2148253,2149233,+,NAD(P)H-binding protein,,Op1512
slr0400,slr0400,NC_000911.1,2149333,2150250,+,NAD(+) kinase,A0A6P1VKD0_9SYNC,Op1513
slr0401,slr0401,NC_000911.1,2150247,2151401,+,extracellular solute-binding protein,,Op1513
slr0402,rdgB,NC_000911.1,2151606,2152190,+,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,,Op1514
ssl0707,ssl0707,NC_000911.1,2152291,2152629,-,P-II family nitrogen regulator,A0A6P1VIR8_9SYNC,Op1515
slr0404,slr0404,NC_000911.1,2152932,2153933,+,DUF1517 domain-containing protein,,Op1516
,,NC_000911.1,2154072,2154206,-,hypothetical protein,,Op6
ssr0657,ssr0657,NC_000911.1,2154205,2154498,+,DUF6439 family protein,A0A6P1VHG9_9SYNC,Op1517
sll0356,sll0356,NC_000911.1,2154516,2155172,-,phosphoribosylanthranilate isomerase,,Op1518
sll0355,sll0355,NC_000911.1,2155273,2156265,-,DMT family transporter,,Op1519
,,NC_000911.1,2156344,2156436,+,IS1 family transposase,,Op71
sll0354,sll0354,NC_000911.1,2156497,2156961,-,ABA4-like family protein,,Op1520
,,NC_000911.1,2157115,2157303,+,DUF2442 domain-containing protein,,Op6
slr0406,pyrC,NC_000911.1,2157442,2158470,+,dihydroorotase,,Op1521
slr0407,slr0407,NC_000911.1,2158543,2159355,+,class I SAM-dependent methyltransferase,,Op1522
slr0408,slr0408,NC_000911.1,2159620,2172219,+,SwmB domain-containing protein,,Op1523
slr0142,slr0142,NC_000911.1,2172365,2173099,+,YoaK family protein,,Op1524
slr0143,slr0143,NC_000911.1,2173197,2176772,+,AAA-like domain-containing protein,,Op1525
slr0144,slr0144,NC_000911.1,2177115,2177903,+,hypothetical protein,,Op1526
slr0145,slr0145,NC_000911.1,2177900,2178310,+,hypothetical protein,,Op1526
,,NC_000911.1,2178325,2178837,+,phycobilisome protein,,Op6
slr0147,slr0147,NC_000911.1,2178840,2179505,+,hypothetical protein,,Op1527
slr0148,slr0148,NC_000911.1,2179537,2180019,+,2Fe-2S iron-sulfur cluster-binding protein,,Op1527
slr0149,slr0149,NC_000911.1,2180073,2180543,+,hypothetical protein,,Op1528
slr0150,slr0150,NC_000911.1,2180577,2180888,+,2Fe-2S iron-sulfur cluster-binding protein,A0A6P1VHU0_9SYNC,Op1528
slr0151,slr0151,NC_000911.1,2181013,2181975,+,tetratricopeptide repeat protein,,Op1529
slr0152,slr0152,NC_000911.1,2182096,2183958,+,serine/threonine-protein kinase,,Op1530
sll0149,sll0149,NC_000911.1,2184030,2185784,-,hypothetical protein,,Op1531
sll0148,sll0148,NC_000911.1,2185870,2188077,-,caspase family protein,,Op1532
sll0147,sll0147,NC_000911.1,2188230,2190236,-,hypothetical protein,,Op1533
,,NC_000911.1,2190703,2190940,-,hypothetical protein,,Op71
sll0146,sll0146,NC_000911.1,2190933,2192051,-,branched-chain amino acid ABC transporter permease,,Op1534
sll0145,frr,NC_000911.1,2192133,2192681,-,ribosome recycling factor,A0A6P1VPY8_9SYNC,Op1535
sll0144,pyrH,NC_000911.1,2192668,2193390,-,UMP kinase,A0A6P1VL67_9SYNC,Op1535
ssl0259,ssl0259,NC_000911.1,2193591,2193812,-,type II toxin-antitoxin system HicB family antitoxin,,Op1536
,,NC_000911.1,2193813,2194157,-,type II toxin-antitoxin system HicA family toxin,,Op6
slr0156,clpB,NC_000911.1,2194405,2197101,+,ATP-dependent chaperone ClpB,,Op1537
slr0157,slr0157,NC_000911.1,2197132,2197620,+,hypothetical protein,,Op1537
sll0142,sll0142,NC_000911.1,2197732,2200959,-,efflux RND transporter permease subunit,,Op1538
sll0141,sll0141,NC_000911.1,2201147,2202550,-,efflux RND transporter periplasmic adaptor subunit,,Op1539
slr0161,slr0161,NC_000911.1,2202944,2204053,+,type IV pilus twitching motility protein PilT,A0A6P1VLT8_9SYNC,Op1540
,,NC_000911.1,2204157,2205372,+,type II secretion system F family protein,,Op71
slr0164,slr0164,NC_000911.1,2205774,2206451,+,ATP-dependent Clp protease proteolytic subunit,A0A6P1VKF5_9SYNC,Op1541
slr0165,slr0165,NC_000911.1,2206551,2207159,+,ATP-dependent Clp protease proteolytic subunit,,Op1542
sll0136,sll0136,NC_000911.1,2207370,2208695,-,aminopeptidase P N-terminal domain-containing protein,,Op1543
sll0135,sll0135,NC_000911.1,2208778,2209758,-,S-methyl-5'-thioadenosine phosphorylase,,Op1544
ssl0242,ssl0242,NC_000911.1,2209703,2209939,-,DUF3134 domain-containing protein,A0A6P1VGA7_9SYNC,Op1544
,,NC_000911.1,2210006,2210161,-,ribbon-helix-helix domain-containing protein,,Op6
,,NC_000911.1,2210385,2211162,+,IS5 family transposase,,Op71
slr1923,slr1923,NC_000911.1,2211283,2212479,+,Coenzyme F420 hydrogenase/dehydrogenase%2C beta subunit C-terminal domain,,Op1545
slr1924,slr1924,NC_000911.1,2212505,2213707,+,serine hydrolase,,Op1545
slr1925,cbiB,NC_000911.1,2213707,2214735,+,adenosylcobinamide-phosphate synthase CbiB,,Op1545
sll1865,prfB,NC_000911.1,2214685,2215725,-,peptide chain release factor 2,,Op1546
,,NC_000911.1,2216151,2216396,+,hypothetical protein,,Op6
sll1864,sll1864,NC_000911.1,2216476,2219175,-,chloride channel protein,,Op1547
slr1926,slr1926,NC_000911.1,2219290,2219793,+,hypothetical protein,,Op1548
slr1927,slr1927,NC_000911.1,2219786,2220961,+,DUF58 domain-containing protein,,Op1548
slr1928,slr1928,NC_000911.1,2221173,2221631,+,hypothetical protein,,Op1549
,,NC_000911.1,2221648,2222199,+,type II secretion system protein,,Op6
slr1930,slr1930,NC_000911.1,2222316,2222876,+,type II secretion system protein,,Op1550
,,NC_000911.1,2222898,2223815,+,hypothetical protein,,Op6
slr1932,slr1932,NC_000911.1,2223873,2224568,+,alpha/beta hydrolase,,Op1551
sll1863,sll1863,NC_000911.1,2224789,2225079,-,hypothetical protein,,Op1552
sll1862,sll1862,NC_000911.1,2225278,2225709,-,hypothetical protein,,Op1553
sll1861,sll1861,NC_000911.1,2225766,2226530,-,IS5 family transposase,,Op1554
sll1860,sll1860,NC_000911.1,2226619,2227404,-,IS5 family transposase,G8JZR6_9SYNC,Op1555
,,NC_000911.1,2227654,2227752,+,ABC transporter ATP-binding protein,,Op71
slr1933,rfbC,NC_000911.1,2227829,2228377,+,dTDP-4-dehydrorhamnose 3%2C5-epimerase,,Op1556
sll1858,sll1858,NC_000911.1,2228445,2230328,-,hypothetical protein,,Op1557
slr1934,pdhA,NC_000911.1,2230487,2231515,+,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha,,Op1558
slr1935,slr1935,NC_000911.1,2231639,2233036,+,MFS transporter,,Op1559
sll1854,xth,NC_000911.1,2233037,2233834,-,exodeoxyribonuclease III,,Op1560
sll1853,sll1853,NC_000911.1,2233809,2234273,-,DUF3750 domain-containing protein,,Op1561
sll1852,ndk,NC_000911.1,2234304,2234753,-,nucleoside-diphosphate kinase,A0A6P1VK51_9SYNC,Op1561
sll1851,sll1851,NC_000911.1,2235072,2235482,-,hypothetical protein,,Op1562
,,NC_000911.1,2235561,2235920,+,IS630 transposase-related protein,,Op6
,,NC_000911.1,2235830,2236408,+,IS630 family transposase,,Op6
sll1849,sll1849,NC_000911.1,2236419,2237054,-,aromatic ring-hydroxylating dioxygenase subunit alpha,,Op1563
slr1938,mtnA,NC_000911.1,2237134,2238189,+,S-methyl-5-thioribose-1-phosphate isomerase,,Op1564
sll1848,sll1848,NC_000911.1,2238277,2238954,-,lysophospholipid acyltransferase family protein,,Op1565
slr1939,slr1939,NC_000911.1,2239239,2241248,+,M48 family metalloprotease,,Op1566
slr1940,slr1940,NC_000911.1,2241355,2242788,+,collagen-like protein,,Op1567
ssr3300,ssr3300,NC_000911.1,2242886,2243137,+,hypothetical protein,,Op1568
sll1845,sll1845,NC_000911.1,2243250,2243723,-,TspO/MBR family protein,,Op1569
slr1942,kaiC,NC_000911.1,2243851,2245368,+,circadian clock protein KaiC,A0A6P1VHF4_9SYNC,Op1570
ssr3304,ssr3304,NC_000911.1,2245407,2245583,+,PCP reductase family protein,A0A6P1VLB3_9SYNC,Op1570
slr1943,slr1943,NC_000911.1,2245636,2246631,+,glycosyltransferase,,Op1571
slr1944,slr1944,NC_000911.1,2246867,2248483,+,alpha/beta hydrolase,,Op1572
slr1945,gpmI,NC_000911.1,2248578,2250176,+,2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase,,Op1573
ssr3307,secG,NC_000911.1,2250241,2250474,+,preprotein translocase subunit SecG,A0A6P1VJ35_9SYNC,Op1574
slr1946,slr1946,NC_000911.1,2250711,2251496,+,matrixin family metalloprotease,,Op1575
sll1841,sll1841,NC_000911.1,2251657,2252958,-,dihydrolipoamide acetyltransferase family protein,,Op1576
slr1949,slr1949,NC_000911.1,2253169,2253807,+,DUF3318 domain-containing protein,A0A068N213_SYNY4,Op1577
slr1949,slr1949,NC_000911.1,2253169,2253807,+,DUF3318 domain-containing protein,A0A6P1VGE9_9SYNC,Op1577
slr1950,slr1950,NC_000911.1,2254112,2256454,+,cation-translocating P-type ATPase,,Op1578
slr1951,slr1951,NC_000911.1,2256697,2257170,+,FHA domain-containing protein,A0A6P1VLC5_9SYNC,Op1579
slr0989,slr0989,NC_000911.1,2257203,2257964,+,YebC/PmpR family DNA-binding transcriptional regulator,,Op1579
slr0990,gshA,NC_000911.1,2258074,2259243,+,glutamate--cysteine ligase,,Op1580
slr0992,trmL,NC_000911.1,2259402,2259863,+,tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL,,Op1581
,,NC_000911.1,2260663,2261631,+,LysM peptidoglycan-binding domain-containing protein,,Op71
,,NC_000911.1,2262202,2262576,+,M23 family metallopeptidase,,Op71
sll0947,raiA,NC_000911.1,2262805,2263380,-,ribosome-associated translation inhibitor RaiA,A0A6P1VFQ0_9SYNC,Op1582
slr0994,lipB,NC_000911.1,2263827,2264510,+,lipoyl(octanoyl) transferase LipB,,Op1583
ssl1807,ssl1807,NC_000911.1,2264491,2264781,-,hypothetical protein,A0A6P1VGG0_9SYNC,Op1584
sll0945,glgA,NC_000911.1,2265213,2266646,-,glycogen synthase GlgA,,Op1585
sll0944,sll0944,NC_000911.1,2266850,2267344,-,DUF1830 domain-containing protein,,Op1586
slr0320,slr0320,NC_000911.1,2267490,2269085,+,radical SAM protein,,Op1587
sll0306,sll0306,NC_000911.1,2269126,2270163,-,RNA polymerase sigma factor%2C RpoD/SigA family,,Op1588
slr0321,era,NC_000911.1,2270624,2271571,+,GTPase Era,,Op1589
slr0322,slr0322,NC_000911.1,2271581,2274868,+,hybrid sensor histidine kinase/response regulator,,Op1589
slr0323,slr0323,NC_000911.1,2274868,2277996,+,alpha-mannosidase,,Op1589
slr0324,slr0324,NC_000911.1,2277989,2278873,+,ABC transporter permease,,Op1589
slr0325,slr0325,NC_000911.1,2278921,2279406,+,MEKHLA domain-containing protein,,Op1590
sll0301,sll0301,NC_000911.1,2279497,2280006,-,pentapeptide repeat-containing protein,,Op1591
sll0300,ribE,NC_000911.1,2280267,2280947,-,riboflavin synthase,,Op1592
,,NC_000911.1,2281172,2281441,+,hypothetical protein,A0A6P1VJE6_9SYNC,Op6
slr0327,slr0327,NC_000911.1,2281509,2283182,+,ABC transporter permease subunit,A0A6P1VHP6_9SYNC,Op1593
slr0328,slr0328,NC_000911.1,2283232,2283705,+,low molecular weight phosphotyrosine protein phosphatase,A0A6P1VHI4_9SYNC,Op1594
slr0329,slr0329,NC_000911.1,2283794,2284777,+,ROK family protein,,Op1595
sll0298,sll0298,NC_000911.1,2284791,2285294,-,DUF2062 domain-containing protein,,Op1596
sll0297,sll0297,NC_000911.1,2285410,2285997,-,NYN domain-containing protein,,Op1596
sll0296,sll0296,NC_000911.1,2286186,2286746,-,Uma2 family endonuclease,,Op1597
ssl0564,ssl0564,NC_000911.1,2286798,2287067,-,helix-turn-helix transcriptional regulator,A0A6P1VKL7_9SYNC,Op1598
ssl0563,psaC,NC_000911.1,2287334,2287579,-,photosystem I iron-sulfur center protein PsaC,A0A068MS78_SYNY4,Op1599
ssl0563,psaC,NC_000911.1,2287334,2287579,-,photosystem I iron-sulfur center protein PsaC,I4G550_MICAE,Op1599
ssl0563,psaC,NC_000911.1,2287334,2287579,-,photosystem I iron-sulfur center protein PsaC,A0A6P1VJ63_9SYNC,Op1599
ssl0563,psaC,NC_000911.1,2287334,2287579,-,photosystem I iron-sulfur center protein PsaC,A0A2Z6UV67_MICAE,Op1599
ssl0563,psaC,NC_000911.1,2287334,2287579,-,photosystem I iron-sulfur center protein PsaC,A0A5A5S9E9_MICAE,Op1599
ssl0563,psaC,NC_000911.1,2287334,2287579,-,photosystem I iron-sulfur center protein PsaC,A0A5J5LQR9_MICAE,Op1599
ssl0563,psaC,NC_000911.1,2287334,2287579,-,photosystem I iron-sulfur center protein PsaC,A0A5J4FA62_MICAE,Op1599
ssl0563,psaC,NC_000911.1,2287334,2287579,-,photosystem I iron-sulfur center protein PsaC,A0A857D518_MICAE,Op1599
ssl0563,psaC,NC_000911.1,2287334,2287579,-,photosystem I iron-sulfur center protein PsaC,A0A0A1VPV2_MICAE,Op1599
ssl0563,psaC,NC_000911.1,2287334,2287579,-,photosystem I iron-sulfur center protein PsaC,A0A2H6L5A4_MICAE,Op1599
ssl0563,psaC,NC_000911.1,2287334,2287579,-,photosystem I iron-sulfur center protein PsaC,PSAC_GLOC7,Op1599
ssl0563,psaC,NC_000911.1,2287334,2287579,-,photosystem I iron-sulfur center protein PsaC,A0A8J7JCZ0_9CYAN,Op1599
slr0331,slr0331,NC_000911.1,2287948,2289525,+,NAD(P)H-quinone oxidoreductase subunit 4,,Op1600
slr0333,slr0333,NC_000911.1,2289704,2290024,+,SH3 domain-containing protein,,Op1601
slr0334,slr0334,NC_000911.1,2290089,2290421,+,hypothetical protein,,Op1602
ssr0536,ssr0536,NC_000911.1,2290705,2290959,+,hypothetical protein,,Op1603
sll0295,sll0295,NC_000911.1,2291091,2291879,-,hypothetical protein,,Op1604
slr0335,slr0335,NC_000911.1,2292188,2294878,+,phycobilisome rod-core linker polypeptide,,Op1605
slr0337,slr0337,NC_000911.1,2295152,2297341,+,hypothetical protein,,Op1606
sll0294,sll0294,NC_000911.1,2297368,2298570,-,DNA double-strand break repair nuclease NurA,,Op1607
sll0293,sll0293,NC_000911.1,2298606,2299118,-,hypothetical protein,,Op1607
slr0338,slr0338,NC_000911.1,2299371,2300441,+,Gfo/Idh/MocA family oxidoreductase,,Op1608
slr0168,slr0168,NC_000911.1,2300515,2302446,+,DUF4114 domain-containing protein,,Op1609
,,NC_000911.1,2302457,2302639,-,hypothetical protein,,Op6
slr0169,slr0169,NC_000911.1,2302638,2303279,+,hypothetical protein,,Op1610
slr0171,slr0171,NC_000911.1,2303507,2304034,+,tetratricopeptide repeat protein,A0A6P1VHQ8_9SYNC,Op1611
slr0172,slr0172,NC_000911.1,2304094,2304561,+,CBS domain-containing protein,A0A6P1VHJ8_9SYNC,Op1612
sll0177,sll0177,NC_000911.1,2304558,2305886,-,recombinase family protein,,Op1613
,,NC_000911.1,2305907,2306230,-,metal-sensitive transcriptional regulator,,Op6
,,NC_000911.1,2306349,2306603,-,hypothetical protein,A0A6P1VI29_9SYNC,Op6
sll0175,sll0175,NC_000911.1,2306850,2308472,-,NAD(P)/FAD-dependent oxidoreductase,,Op1614
sll0174,sll0174,NC_000911.1,2308517,2309371,-,ABC transporter substrate-binding protein,,Op1615
sll0173,sll0173,NC_000911.1,2309413,2310471,-,virginiamycin B hydrolase Vgb,,Op1616
sll0172,sll0172,NC_000911.1,2310533,2310991,-,hypothetical protein,,Op1617
sll0171,gcvT,NC_000911.1,2311377,2312495,-,glycine cleavage system aminomethyltransferase GcvT,,Op1618
sll0170,dnaK,NC_000911.1,2312664,2314574,-,molecular chaperone DnaK,,Op1619
sll0169,sll0169,NC_000911.1,2314780,2316924,-,IMS domain-containing protein,,Op1620
sll0168,sll0168,NC_000911.1,2317112,2317447,-,hypothetical protein,,Op1621
sll0167,sll0167,NC_000911.1,2317536,2318030,-,hypothetical protein,,Op1622
sll0166,cobA,NC_000911.1,2318011,2319627,-,uroporphyrinogen-III C-methyltransferase,,Op1622
sll0163,sll0163,NC_000911.1,2319555,2324636,-,hypothetical protein,,Op1622
sll0162,sll0162,NC_000911.1,2325045,2325629,-,TIGR04376 family protein,,Op1623
slr0179,slr0179,NC_000911.1,2325864,2326937,+,dynamin-like GTPase family protein,,Op1624
slr0180,slr0180,NC_000911.1,2327013,2328029,+,IS4-like element IS4Sa family transposase,Q54AG6_9SYNC,Op1625
,,NC_000911.1,2328177,2328936,-,IS5 family transposase,,Op71
slr0181,recO,NC_000911.1,2329304,2330119,+,DNA repair protein RecO,,Op1626
ssl0294,ssl0294,NC_000911.1,2330147,2330359,-,hypothetical protein,A0A6P1VGV8_9SYNC,Op1627
,,NC_000911.1,2330587,2330724,+,transposase,,Op71
sll0160,sll0160,NC_000911.1,2330788,2331462,-,cytochrome b/b6 domain-containing protein,,Op1628
sll0158,glgB,NC_000911.1,2331505,2333817,-,1%2C4-alpha-glucan branching enzyme,,Op1629
sll0157,sll0157,NC_000911.1,2334042,2334812,-,MBL fold metallo-hydrolase,,Op1630
sll0156,sll0156,NC_000911.1,2334877,2335494,-,hypothetical protein,,Op1631
slr0184,slr0184,NC_000911.1,2335706,2336326,+,hypothetical protein,,Op1632
slr0185,pyrE,NC_000911.1,2336427,2337023,+,orotate phosphoribosyltransferase,A0A6P1VDQ4_9SYNC,Op1633
sll0154,sll0154,NC_000911.1,2337062,2338450,-,YvcK family protein,A0A6P1VHL8_9SYNC,Op1634
slr0186,slr0186,NC_000911.1,2338636,2340237,+,2-isopropylmalate synthase,A0A6P1VGD2_9SYNC,Op1635
slr0359,slr0359,NC_000911.1,2340445,2344056,+,EAL domain-containing protein,,Op1636
slr0360,slr0360,NC_000911.1,2344152,2345759,+,NCS2 family permease,,Op1637
slr0361,slr0361,NC_000911.1,2345797,2346546,+,pseudouridine synthase,,Op1637
slr0362,slr0362,NC_000911.1,2346573,2347127,+,YqeG family HAD IIIA-type phosphatase,,Op1637
sll0350,sll0350,NC_000911.1,2347500,2349911,-,DUF3769 domain-containing protein,,Op1638
sml0001,sml0001,NC_000911.1,2350140,2350256,-,photosystem II reaction center protein I,A0A068MS76_SYNY4,Op1639
sml0001,sml0001,NC_000911.1,2350140,2350256,-,photosystem II reaction center protein I,A0A6P1VJ97_9SYNC,Op1639
slr0363,slr0363,NC_000911.1,2350333,2350983,+,DUF721 domain-containing protein,,Op1640
,,NC_000911.1,2351323,2360412,+,Ig-like domain-containing protein,,Op6
,,NC_000911.1,2360376,2365685,+,DUF4114 domain-containing protein,,Op6
slr0369,slr0369,NC_000911.1,2365930,2369181,+,efflux RND transporter permease subunit,,Op1641
slr0370,slr0370,NC_000911.1,2369282,2370646,+,NAD-dependent succinate-semialdehyde dehydrogenase,,Op1642
sll0337,sll0337,NC_000911.1,2370818,2372110,-,PAS domain-containing sensor histidine kinase,,Op1643
sll0336,accD,NC_000911.1,2372249,2373229,-,acetyl-CoA carboxylase%2C carboxyltransferase subunit beta,A0A6P1VLQ0_9SYNC,Op1644
sll0335,sll0335,NC_000911.1,2373343,2374788,-,circularly permuted type 2 ATP-grasp protein,,Op1645
slr0373,slr0373,NC_000911.1,2375068,2375448,+,hypothetical protein,,Op1646
slr0374,slr0374,NC_000911.1,2375539,2377044,+,AAA family ATPase,,Op1647
slr0376,slr0376,NC_000911.1,2377177,2377527,+,DUF1257 domain-containing protein,A0A6P1VKW3_9SYNC,Op1648
slr0377,slr0377,NC_000911.1,2377709,2378938,+,hypothetical protein,,Op1649
slr0378,slr0378,NC_000911.1,2378981,2381095,+,penicillin acylase family protein,,Op1650
slr0379,tmk,NC_000911.1,2381113,2381751,+,dTMP kinase,,Op1650
slr0380,slr0380,NC_000911.1,2381889,2383127,+,CHAT domain-containing protein,,Op1650
slr0381,gloA,NC_000911.1,2383241,2383636,+,lactoylglutathione lyase,,Op1651
sll0330,sll0330,NC_000911.1,2383949,2384728,-,SDR family NAD(P)-dependent oxidoreductase,A0A6P1VHT6_9SYNC,Op1652
slr0383,rsmD,NC_000911.1,2385351,2385911,+,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,,Op1653
slr0384,slr0384,NC_000911.1,2385939,2387168,+,glycosyltransferase family 1 protein,,Op1653
sll0329,gnd,NC_000911.1,2387424,2388851,-,decarboxylating NADP(+)-dependent phosphogluconate dehydrogenase,,Op1654
,,NC_000911.1,2388867,2389031,+,hypothetical protein,,Op6
sll0328,sll0328,NC_000911.1,2389062,2389481,-,hypothetical protein,,Op1655
sll0327,sll0327,NC_000911.1,2389481,2389900,-,hypothetical protein,,Op1655
slr0386,slr0386,NC_000911.1,2390249,2391454,+,SGNH/GDSL hydrolase family protein,,Op1656
slr0387,slr0387,NC_000911.1,2391547,2392707,+,cysteine desulfurase family protein,,Op1657
slr0388,slr0388,NC_000911.1,2392729,2393403,+,ComF family protein,,Op1657
slr0769,slr0769,NC_000911.1,2393493,2394107,+,L%2CD-transpeptidase,,Op1658
slr0770,slr0770,NC_000911.1,2394232,2394552,+,DUF433 domain-containing protein,,Op1659
slr0771,slr0771,NC_000911.1,2394536,2394871,+,DUF5615 family PIN-like protein,,Op1659
slr0772,bchB,NC_000911.1,2395103,2396629,+,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit B,,Op1660
slr0773,slr0773,NC_000911.1,2396761,2397441,+,TrkA family potassium uptake protein,,Op1661
sll0772,sll0772,NC_000911.1,2397478,2399118,-,iron uptake porin,,Op1662
sll0771,sll0771,NC_000911.1,2399210,2400616,-,sugar porter family MFS transporter,,Op1663
slr0774,secD,NC_000911.1,2400914,2402332,+,protein translocase subunit SecD,,Op1664
slr0775,secF,NC_000911.1,2402393,2403340,+,protein translocase subunit SecF,,Op1664
slr0776,lpxD,NC_000911.1,2403473,2404507,+,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,,Op1665
sll0767,rplT,NC_000911.1,2404615,2404968,-,50S ribosomal protein L20,A0A6P1VJI0_9SYNC,Op1666
ssl1426,rpmI,NC_000911.1,2405109,2405312,-,50S ribosomal protein L35,A0A6P1VG25_9SYNC,Op1667
sll0766,radC,NC_000911.1,2405409,2406140,-,DNA repair protein RadC,A0A6P1VJC4_9SYNC,Op1668
sll0765,sll0765,NC_000911.1,2406130,2406966,-,rhodanese-related sulfurtransferase,,Op1668
,,NC_000911.1,2407236,2407412,+,hypothetical protein,,Op6
sll0764,urtD,NC_000911.1,2407565,2408686,-,urea ABC transporter ATP-binding protein UrtD,,Op1669
,,NC_000911.1,2408869,2409228,-,hypothetical protein,,Op6
,,NC_000911.1,2409194,2409544,-,hypothetical protein,,Op6
sll0761,sll0761,NC_000911.1,2409572,2409925,-,hypothetical protein,,Op1670
sll0760,sll0760,NC_000911.1,2410030,2410914,-,ABC transporter permease,,Op1671
sll0759,sll0759,NC_000911.1,2411067,2412092,-,ABC transporter ATP-binding protein,,Op1672
slr0779,slr0779,NC_000911.1,2412178,2412798,+,DUF4126 domain-containing protein,,Op1673
sll0757,purF,NC_000911.1,2412826,2414313,-,amidophosphoribosyltransferase,A0A6P1VJJ0_9SYNC,Op1674
smr0001,smr0001,NC_000911.1,2414584,2414679,+,photosystem II reaction center protein T,A0A6P1VG36_9SYNC,Op1675
slr0780,nrdR,NC_000911.1,2414833,2415318,+,transcriptional regulator NrdR,,Op1676
sll0756,sll0756,NC_000911.1,2415410,2415901,-,hypothetical protein,,Op1677
sll0755,sll0755,NC_000911.1,2416091,2416693,-,peroxiredoxin,,Op1678
